INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/users
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/users
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/files
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/files
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/courses
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/courses
INFO | - Base-assert: Status code = "200-OK"
INFO | - Base-assert: Request method = "POST"
INFO | COURSES-ASSERT: Response data = Request data
INFO | - Base-assert: Values of "actual.title" = "expected.title"
INFO | - Base-assert: Values of "actual.max_score" = "expected.max_score"
INFO | - Base-assert: Values of "actual.min_score" = "expected.min_score"
INFO | - Base-assert: Values of "actual.description" = "expected.description"
INFO | - Base-assert: Values of "actual.estimated_time" = "expected.estimated_time"
INFO | - Base-assert: Values of "actual.preview_file_id" = "expected.preview_file_id"
INFO | - Base-assert: Values of "actual.created_by_user_id" = "expected.created_by_user_id"
INFO | SCHEMA-ASSERT: Response JSON Schema validation (CreateCourseResponseSchema)
