INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/users
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/users
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/files
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/files
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/courses
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/courses
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/exercises
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/exercises
INFO | HTTPX-Client: GET-request to http://localhost:8000/api/v1/exercises/eca04779-aaa7-4cec-a89a-975061dc39e6
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/exercises/eca04779-aaa7-4cec-a89a-975061dc39e6
INFO | - Base-assert: Status code = "200-OK"
INFO | - Base-assert: Request method = "GET"
INFO | EXERCISE-ASSERT: Get Exercise Response data is non-empty
INFO | EXERCISE-ASSERT: Exercise values in non-empty
INFO | - Base-assert: Value of "id" is non-empty
INFO | - Base-assert: Value of "title" is non-empty
INFO | - Base-assert: Value of "course_id" is non-empty
INFO | - Base-assert: Value of "max_score" is non-empty
INFO | - Base-assert: Value of "min_score" is non-empty
INFO | - Base-assert: Value of "order_index" is non-empty
INFO | - Base-assert: Value of "description" is non-empty
INFO | - Base-assert: Value of "estimated_time" is non-empty
INFO | EXERCISE-ASSERT: Exercise-ID validation
INFO | - Base-assert: Value of "exercise_id" is non-empty
INFO | - Base-assert: Length of "exercise_id" = 36
INFO | SCHEMA-ASSERT: Response JSON Schema validation (GetExerciseResponseSchema)
