INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/users
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/users
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/files
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/files
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/courses
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/courses
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/exercises
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/exercises
INFO | HTTPX-Client: DELETE-request to http://localhost:8000/api/v1/exercises/7f4bd95c-de30-46db-956a-8987c17fd1ec
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/exercises/7f4bd95c-de30-46db-956a-8987c17fd1ec
INFO | HTTPX-Client: GET-request to http://localhost:8000/api/v1/exercises/7f4bd95c-de30-46db-956a-8987c17fd1ec
INFO | HTTPX-Client: Status code: 404-Not Found from http://localhost:8000/api/v1/exercises/7f4bd95c-de30-46db-956a-8987c17fd1ec
INFO | - Base-assert: Status code = "200-OK"
INFO | - Base-assert: Request method = "DELETE"
INFO | - Base-assert: Status code = "404-Not Found"
INFO | - Base-assert: Request method = "GET"
INFO | EXERCISE-ASSERT: Get File Not Found Error Response by non-existent exercise
INFO | ERRORS-ASSERT: Validation Not Found Error Response
INFO | - Base-assert: Values of "actual.detail" = "expected.detail"
INFO | SCHEMA-ASSERT: Response JSON Schema validation (NotFoundErrorResponseSchema)
