INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/users
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/users
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/authentication/login
INFO | HTTPX-Client: POST-request to http://localhost:8000/api/v1/files
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/files
INFO | HTTPX-Client: GET-request to http://localhost:8000/api/v1/files/e1d90822-89ed-46e5-85d0-4be732c1cf1f
INFO | HTTPX-Client: Status code: 200-OK from http://localhost:8000/api/v1/files/e1d90822-89ed-46e5-85d0-4be732c1cf1f
INFO | - Base-assert: Status code: 200-OK
INFO | - Base-assert: Request method: GET
INFO | FILES-ASSERT: File-ID validation
INFO | - Base-assert: Value of "id" is non-empty
INFO | - Base-assert: Length of "id" = 36
INFO | - Base-assert: Values of Actual "id" = Expected "id"
INFO | SCHEMA-ASSERT: Response JSON Schema validation (GetFileResponseSchema)
